Age,M_Mtot,R_cm,logP,logT,logRho,logL,Kappa,Sint,Gradrad,Gradad,Gradtot,Tau,Lconv,X,Y,Z
4600.0,0.9975760871184,2467728596.455,9.401926588988,2.846095233438,-1.131455999146,21.6688345088,36.44602355227,317680641.2978,80.6041932215,0.2001642472291,0.2001642495207,61395867.43182,1,0.56382,0.21265,0.22353
4600.0,0.9972565963594,2462962492.686,9.457648431712,2.857695467943,-1.10390017685,21.6687086583,38.8865432366,317546080.1876,87.87007346724,0.2187609148047,0.2187609101586,75093829.9988,1,0.563571,0.212581,0.223848
4600.0,0.9969153549599,2458178076.191,9.510558364581,2.87001082693,-1.073936331511,21.66857427513,41.21684208733,317402181.8147,93.92454742985,0.2500163146794,0.2500163125969,90709709.35242,1,0.563301,0.212507,0.224192
4600.0,0.9965565438883,2453480559.528,9.560353478429,2.883215097091,-1.041758524873,21.66844013496,43.3662734308,317274911.186,98.142413426,0.2694777000331,0.2694776979383,108112911.1998,1,0.563015,0.212427,0.224558
4600.0,0.9961655672817,2448712278.745,9.609147310271,2.896587216116,-1.009419635841,21.66829259128,45.47169757243,317109965.6562,101.8061534483,0.2786166687692,0.2786166661043,128106328.6163,1,0.562699,0.212339,0.224961
4600.0,0.9957409618932,2443884144.279,9.656916129856,2.910140451318,-0.9775796665123,21.66813057634,44.81377718675,316926986.0214,98.86064243766,0.2896538860208,0.2896538895659,150859084.314,1,0.562353,0.212241,0.225406
4600.0,0.995281811484,2439009057.529,9.703597624269,2.92390089856,-0.9464828537126,21.6679535979,41.88457687437,316727856.2535,90.64190885812,0.2996750661911,0.2996750682079,173910775.9311,1,0.561973,0.212133,0.225894
4600.0,0.9947663525435,2433889939.797,9.750988444363,2.937190919997,-0.9171922820453,21.66774557205,39.61014418417,316496225.3902,84.59194733197,0.2629188645156,0.2629188663965,198344108.7265,1,0.56154,0.212009,0.226451
4600.0,0.9941749136644,2428354371.205,9.800050347374,2.949581785191,-0.8906876206496,21.66748891113,38.06997718132,316216382.1769,81.20920968338,0.2493272457999,0.2493272526021,225196414.6232,1,0.561035,0.211862,0.227103
4600.0,0.9935250595487,2422587888.925,9.848645539391,2.961828012978,-0.8661314334389,21.66719172396,36.81201250854,315901531.9199,78.45295325342,0.2624185163012,0.2624185145235,253772641.4438,1,0.56047,0.211696,0.227833
4600.0,0.9928463205825,2416859327.982,9.894570737142,2.974786734083,-0.8419933949874,21.66686899572,35.46481187495,315559065.0302,74.55585865638,0.3148851937393,0.3148851919775,282709320.1726,1,0.559869,0.211518,0.228613
4600.0,0.9921865433817,2411570270.866,9.935316004048,2.98953228527,-0.8174019746404,21.66656573665,33.69604401694,315308458.5937,67.92216709707,0.3660204767548,0.3660204781159,309728294.7184,1,0.559273,0.211339,0.229389
4600.0,0.9914334844375,2405845878.089,9.977923873679,3.003286961923,-0.7953039272841,21.6662350777,32.56589673959,314941177.715,63.79459910627,0.2833311037466,0.2833311047583,339424194.7208,1,0.558578,0.211127,0.230294
4600.0,0.9905643320802,2399497080.677,10.02280028467,3.015754272357,-0.7764857321048,21.6658812569,32.05005217801,314518321.0486,62.07030180481,0.2663133996568,0.2663134004862,373030446.4664,1,0.557758,0.210874,0.231368
4600.0,0.9895907800577,2392639357.996,10.06854565105,3.027423487447,-0.759045327418,21.66551012931,31.91606071156,314020176.044,61.68631436355,0.2462140309282,0.2462140316603,410508350.899,1,0.556815,0.210579,0.232606
4600.0,0.9885184315374,2385327715.103,10.11438379579,3.038557256846,-0.742756744995,21.66507656856,32.05020020843,313457265.2959,62.13705448804,0.2403370238076,0.2403370245695,452038611.8722,1,0.555746,0.210239,0.234015
4600.0,0.9873540120615,2377624688.712,10.1597144689,3.049378372486,-0.7272286266277,21.6645563665,32.37438646424,312826166.4421,63.06078126682,0.2382434685065,0.2382434693347,497745160.0242,1,0.554549,0.209851,0.2356
