# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681327149505273e+25 kg
# Mean radius       s0 = 2.538871e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225849
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000570.928990
# J2  =  3509.293304
# J4  =   -35.742893
# J6  =     0.631522
# J8  =    -0.016567
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
   198  2.4161e+07  1.6032e+02  1.7512e+09  
   199  2.4155e+07  1.6033e+02  1.7607e+09  
   200  2.4149e+07  1.6035e+02  1.7703e+09  
   201  2.4143e+07  1.6036e+02  1.7798e+09  
   202  2.4137e+07  1.6038e+02  1.7894e+09  
   203  2.4130e+07  1.6039e+02  1.7989e+09  
   204  2.4124e+07  1.6041e+02  1.8085e+09  
   205  2.4118e+07  1.6042e+02  1.8181e+09  
   206  2.4112e+07  1.6044e+02  1.8276e+09  
   207  2.4106e+07  1.6045e+02  1.8372e+09  
   208  2.4099e+07  1.6047e+02  1.8468e+09  
   209  2.4093e+07  1.6049e+02  1.8564e+09  
   210  2.4087e+07  1.6050e+02  1.8660e+09  
   211  2.4081e+07  1.6052e+02  1.8756e+09  
   212  2.4075e+07  1.6053e+02  1.8852e+09  
   213  2.4068e+07  1.6055e+02  1.8948e+09  
   214  2.4062e+07  1.6056e+02  1.9044e+09  
   215  2.4056e+07  1.6058e+02  1.9140e+09  
   216  2.4050e+07  1.6060e+02  1.9237e+09  
   217  2.4044e+07  1.6061e+02  1.9333e+09  
   218  2.4037e+07  1.6063e+02  1.9429e+09  
   219  2.4031e+07  1.6064e+02  1.9526e+09  
   220  2.4025e+07  1.6066e+02  1.9622e+09  
   221  2.4019e+07  1.6067e+02  1.9719e+09  
   222  2.4013e+07  1.6069e+02  1.9815e+09  
   223  2.4006e+07  1.6071e+02  1.9912e+09  
   224  2.4000e+07  1.6072e+02  2.0009e+09  
   225  2.3994e+07  1.6074e+02  2.0105e+09  
   226  2.3988e+07  1.6075e+02  2.0202e+09  
   227  2.3982e+07  1.6077e+02  2.0299e+09  
   228  2.3975e+07  1.6079e+02  2.0396e+09  
   229  2.3969e+07  1.6080e+02  2.0493e+09  
   230  2.3963e+07  1.6082e+02  2.0590e+09  
   231  2.3957e+07  1.6083e+02  2.0687e+09  
   232  2.3951e+07  1.6085e+02  2.0784e+09  
   233  2.3944e+07  1.6087e+02  2.0881e+09  
   234  2.3938e+07  1.6088e+02  2.0978e+09  
   235  2.3932e+07  1.6090e+02  2.1075e+09  
   236  2.3926e+07  1.6091e+02  2.1173e+09  
   237  2.3920e+07  1.6093e+02  2.1270e+09  
   238  2.3913e+07  1.6095e+02  2.1368e+09  
   239  2.3907e+07  1.6096e+02  2.1465e+09  
   240  2.3901e+07  1.6098e+02  2.1563e+09  
   241  2.3895e+07  1.6100e+02  2.1660e+09  
   242  2.3889e+07  1.6101e+02  2.1758e+09  
   243  2.3882e+07  1.6103e+02  2.1855e+09  
   244  2.3876e+07  1.6105e+02  2.1953e+09  
   245  2.3870e+07  1.6106e+02  2.2051e+09  
   246  2.3864e+07  1.6108e+02  2.2149e+09  
   247  2.3858e+07  1.6110e+02  2.2247e+09  
   248  2.3852e+07  1.6111e+02  2.2345e+09  
   249  2.3845e+07  1.6113e+02  2.2443e+09  
   250  2.3839e+07  1.6115e+02  2.2541e+09  
   251  2.3833e+07  1.6116e+02  2.2639e+09  
   252  2.3827e+07  1.6118e+02  2.2737e+09  
   253  2.3821e+07  1.6120e+02  2.2835e+09  
   254  2.3814e+07  1.6121e+02  2.2933e+09  
   255  2.3808e+07  1.6123e+02  2.3032e+09  
   256  2.3802e+07  1.6125e+02  2.3130e+09  
   257  2.3796e+07  1.6126e+02  2.3229e+09  
   258  2.3790e+07  1.6128e+02  2.3327e+09  
   259  2.3783e+07  1.6130e+02  2.3426e+09  
   260  2.3777e+07  1.6131e+02  2.3524e+09  
   261  2.3771e+07  1.6133e+02  2.3623e+09  
   262  2.3765e+07  1.6135e+02  2.3722e+09  
   263  2.3759e+07  1.6137e+02  2.3820e+09  
   264  2.3752e+07  1.6138e+02  2.3919e+09  
   265  2.3746e+07  1.6140e+02  2.4018e+09  
   266  2.3740e+07  1.6142e+02  2.4117e+09  
   267  2.3734e+07  1.6143e+02  2.4216e+09  
   268  2.3728e+07  1.6145e+02  2.4315e+09  
   269  2.3721e+07  1.6147e+02  2.4414e+09  
   270  2.3715e+07  1.6149e+02  2.4513e+09  
   271  2.3709e+07  1.6150e+02  2.4613e+09  
   272  2.3703e+07  1.6152e+02  2.4712e+09  
   273  2.3697e+07  1.6154e+02  2.4811e+09  
   274  2.3690e+07  1.6156e+02  2.4910e+09  
   275  2.3684e+07  1.6157e+02  2.5010e+09  
   276  2.3678e+07  1.6159e+02  2.5109e+09  
   277  2.3672e+07  1.6161e+02  2.5209e+09  
